bnumber	symbol	synonyms	type
b0634	mrdB	ECK0627|rodA	protein-coding
b0636	rlmH	ECK0629|ybeA	protein-coding
b0635	mrdA	ECK0628|pbpA	protein-coding
b0633	rlpA	ECK0626	protein-coding
b2649	ypjB	ECK2646	protein-coding
b0647	ybeT	ECK0640	protein-coding
b0648	ybeU	ECK0641	protein-coding
b0646	djlB	ECK0639|ybeS	protein-coding
b0638	cobC	ECK0631|phpB	protein-coding
b2778	ygcG	ECK2772	protein-coding
b0639	nadD	ECK0632|fusB|ybeN	protein-coding
b0645	ybeR	ECK0638	protein-coding
b0151	fhuC	ECK0150	protein-coding
b0644	ybeQ	ECK0637	protein-coding
b0643	ybeL	ECK0636	protein-coding
b0649	djlC	ECK0642|hsc56|hscD|ybeV	protein-coding
b0652	gltL	ECK0645	protein-coding
b0665	glnV	ECK0656|Su2|glnValpha|suII|supE	tRNA
b2933	cmtA	ECK2928	protein-coding
b0664	glnX	ECK0655|glnV-beta|glnVbeta|supE	tRNA
b2913	serA	ECK2909	protein-coding
b0661	miaB	ECK0653|yleA	protein-coding
b0662	ubiF	ECK0654|yleB	protein-coding
b0666	metU	ECK0657|metT-beta|metTbeta	tRNA
b2846	yqeH	ECK2844	protein-coding
b0672	leuW	ECK0660|feeB	tRNA
b1396	paaI	ECK1393|ydbV	protein-coding
b1292	sapC	ECK1287	protein-coding
b1588	ynfF	ECK1583	protein-coding
b0670	glnU	ECK0659|glnUalpha|supB|trnA	tRNA
b0688	pgm	ECK0676|blu	protein-coding
b0687	seqA	ECK0675|hsm-1	protein-coding
b1990	ldtA	ECK1985|erfK|yeeG|yzzT	protein-coding
b0689	ybfP	ECK0677	protein-coding
b2254	arnC	ECK2247|pmrF|yfbF	protein-coding
b2041	rfbB	ECK2035|rmlB|som	protein-coding
b0316	yahB	ECK0314	protein-coding
b2531	iscR	ECK2528|yfhP	protein-coding
b0673	metT	ECK0661|metTalpha	tRNA
b0674	asnB	ECK0662	protein-coding
b2684	mprA	ECK2678|emrR	protein-coding
b0675	umpH	ECK0663|nagD	protein-coding
b0596	entA	ECK0589	protein-coding
b0676	nagC	ECK0664|nagR	protein-coding
b0691	ybfG	ECK0678|ECK0679|b0690|ybfH	pseudo
b0686	ybfF	ECK0674	protein-coding
b0677	nagA	ECK0665	protein-coding
b0678	nagB	ECK0666|glmD	protein-coding
b0685	ybfE	ECK0673	protein-coding
b0679	nagE	ECK0667|pstN|ptsN	protein-coding
b0684	fldA	ECK0672	protein-coding
b0061	araD	ECK0062	protein-coding
b0683	fur	ECK0671	protein-coding
b0681	chiP	ECK0669|ybfM	protein-coding
b0693	speF	ECK0681	protein-coding
b2485	hyfE	ECK2481	protein-coding
b4508	peaD	ECK0532|ybcD	pseudo
b0724	sdhB	ECK0713|dhsB	protein-coding
b3072	aer	ECK3062|air|yqjJ	protein-coding
b0694	kdpE	ECK0682	protein-coding
b0726	sucA	ECK0714|lys+met	protein-coding
b0968	yccX	ECK0959	protein-coding
b1739	osmE	ECK1737|anr	protein-coding
b0700	rhsC	ECK0689	protein-coding
b0727	sucB	ECK0715	protein-coding
b0363	yaiP	ECK0360	protein-coding
b2309	hisJ	ECK2303	protein-coding
b0680	glnS	ECK0668	protein-coding
b0711	pxpB	ECK0700|ybgJ	protein-coding
b0728	sucC	ECK0716	protein-coding
b0381	ddlA	ECK0376	protein-coding
b0729	sucD	ECK0717	protein-coding
